0.33,0.10,0.95
0.34,0.12,0.95
0.36,0.11,0.95
0.30,0.10,0.97
0.31,0.11,0.94
0.29,0.09,0.96
0.31,0.11,0.97
0.32,0.10,0.96
0.33,0.10,0.97
0.33,0.12,0.97
0.33,0.11,0.97
